"","mgi_symbol","Frequency.x","WT_percent_Myh11_TFs","Frequency.y","MutAll_percent_Myh11_TFs","Δfrequency","Δpercent","Murine_RNA-seq_cluster_UP","Murine_RNA-seq_cluster_DOWN"
"4371","Ncmap",1078,11.1134020618557,1072,11.0515463917526,6,0.0618556701030997,"NAcluster_7,",NA
"4372","Vim",1078,11.1134020618557,1071,11.0412371134021,7,0.0721649484535991,"NAcluster_1,cluster_3,cluster_5,","NAcluster_6,cluster_7,"
"4374","Mgp",1078,11.1134020618557,1029,10.6082474226804,49,0.5051546391753,"NAcluster_3,cluster_5,","NAcluster_1,cluster_6,cluster_7,"
"4904","Dusp1",1073,11.0618556701031,1062,10.9484536082474,11,0.1134020618557,"NAcluster_4,","NAcluster_7,"
"4935","Medag",1070,11.0309278350515,1013,10.4432989690722,57,0.587628865979299,"NAcluster_5,",NA
"4948","Col1a1",1069,11.020618556701,1062,10.9484536082474,7,0.0721649484536009,"NAcluster_3,cluster_5,","NAcluster_1,cluster_2,"
"4975","Csrp1",1067,11,1057,10.8969072164948,10,0.1030927835052,"NAcluster_1,cluster_2,cluster_3,","NAcluster_6,cluster_7,"
"5548","Ephx1",1060,10.9278350515464,1009,10.4020618556701,51,0.525773195876299,"NAcluster_5,","NAcluster_7,"
"5550","Glipr1",1060,10.9278350515464,1058,10.9072164948454,2,0.0206185567009989,NA,"NAcluster_7,"
"5593","Col6a3",1057,10.8969072164948,1055,10.8762886597938,2,0.0206185567009989,"NAcluster_3,cluster_5,","NAcluster_1,cluster_2,cluster_6,"
"5613","Fibin",1056,10.8865979381443,1049,10.8144329896907,7,0.0721649484536009,"NAcluster_7,","NAcluster_2,cluster_3,"
"5673","Lum",1052,10.8453608247423,1041,10.7319587628866,11,0.1134020618557,"NAcluster_5,cluster_6,","NAcluster_1,cluster_2,cluster_7,"
"5720","Cav1",1049,10.8144329896907,982,10.1237113402062,67,0.6907216494845,"NAcluster_1,cluster_3,","NAcluster_6,cluster_7,"
"5727","Pdpn",1049,10.8144329896907,1043,10.7525773195876,6,0.0618556701030997,"NAcluster_5,",NA
"5728","Tpm1",1049,10.8144329896907,1032,10.639175257732,17,0.1752577319587,"NAcluster_1,cluster_3,","NAcluster_6,cluster_7,"
"5747","Pdlim1",1047,10.7938144329897,1042,10.7422680412371,5,0.0515463917526002,"NAcluster_1,cluster_2,cluster_3,","NAcluster_6,cluster_7,"
"5856","Actb",1045,10.7731958762887,1041,10.7319587628866,4,0.041237113402099,"NAcluster_1,cluster_2,cluster_3,","NAcluster_6,cluster_7,"
"5939","Raph1",1041,10.7319587628866,1038,10.7010309278351,3,0.0309278350515001,"NAcluster_7,","NAcluster_1,cluster_2,"
"5986","Igfbp4",1037,10.6907216494845,986,10.1649484536082,51,0.525773195876299,"NAcluster_4,cluster_5,","NAcluster_7,"
"6006","Flna",1036,10.680412371134,1023,10.5463917525773,13,0.134020618556701,"NAcluster_1,cluster_2,cluster_3,","NAcluster_6,cluster_7,"
"6009","Bicc1",1036,10.680412371134,984,10.1443298969072,52,0.5360824742268,"NAcluster_3,cluster_4,","NAcluster_1,"
"6039","Sulf2",1035,10.6701030927835,1024,10.5567010309278,11,0.1134020618557,"NAcluster_1,cluster_2,","NAcluster_7,"
"6055","Postn",1034,10.659793814433,1032,10.639175257732,2,0.0206185567010007,"NAcluster_1,cluster_3,","NAcluster_6,cluster_7,"
"6060","Smc4",1033,10.6494845360825,1030,10.6185567010309,3,0.0309278350515996,NA,"NAcluster_1,"
"6143","Pdgfra",1031,10.6288659793814,1018,10.4948453608247,13,0.134020618556701,"NAcluster_4,","NAcluster_7,"
"6147","Sod2",1031,10.6288659793814,1024,10.5567010309278,7,0.0721649484536009,"NAcluster_6,","NAcluster_7,"
"6166","Col12a1",1029,10.6082474226804,1021,10.5257731958763,8,0.0824742268041003,"NAcluster_3,","NAcluster_1,cluster_2,"
"6230","Gm13889",1026,10.5773195876289,1021,10.5257731958763,5,0.0515463917526002,"NAcluster_1,cluster_3,","NAcluster_5,"
"6262","Htra3",1024,10.5567010309278,1023,10.5463917525773,1,0.0103092783504994,"NAcluster_3,",NA
"6340","Nrn1",1021,10.5257731958763,971,10.0103092783505,50,0.5154639175258,NA,"NAcluster_1,"
"6353","Gpc6",1020,10.5154639175258,969,9.98969072164948,51,0.525773195876321,"NAcluster_3,","NAcluster_5,"
"6398","Slc38a3",1019,10.5051546391753,1013,10.4432989690722,6,0.0618556701030997,"NAcluster_7,",NA
"6497","Cxcl10",1015,10.4639175257732,1013,10.4432989690722,2,0.0206185567009989,"NAcluster_4,",NA
"6535","Rasl11b",1013,10.4432989690722,1007,10.3814432989691,6,0.0618556701031014,"NAcluster_1,",NA
"6602","Antxr1",1011,10.4226804123711,1008,10.3917525773196,3,0.0309278350515001,"NAcluster_3,cluster_4,","NAcluster_7,"
"6640","Osr1",1010,10.4123711340206,1002,10.3298969072165,8,0.0824742268040985,"NAcluster_1,","NAcluster_6,cluster_7,"
"6652","Ier5",1009,10.4020618556701,1006,10.3711340206186,3,0.0309278350515001,"NAcluster_6,","NAcluster_5,"
"6673","Il6st",1008,10.3917525773196,1006,10.3711340206186,2,0.0206185567010007,NA,"NAcluster_7,"
"6677","Cdh5",1008,10.3917525773196,1002,10.3298969072165,6,0.0618556701030997,"NAcluster_2,",NA
